episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
125,1855.4,12.0,180,-11.000000000000037,16949,-692.4500000000005,1.0000,0.76889,0.0151,64,0,57
126,1869.5,12.3,180,-15.00000000000005,17129,-707.4500000000005,1.0000,0.76643,0.0148,64,0,57
127,1873.7,2.5,12,4.3999999999999995,17141,-703.0500000000005,1.0000,0.76627,0.0130,64,1,58
128,1887.5,12.1,180,-13.000000000000057,17321,-716.0500000000006,1.0000,0.76381,0.0131,64,0,58
129,1901.4,12.1,180,-13.000000000000057,17501,-729.0500000000006,1.0000,0.76136,0.0148,64,0,58
130,1916.9,13.8,177,-5.850000000000031,17678,-734.9000000000007,1.0000,0.75895,0.0137,64,1,59
131,1922.4,3.9,32,1.4000000000000024,17710,-733.5000000000007,1.0000,0.75851,0.0146,64,1,60
132,1936.3,12.2,180,-8.999999999999993,17890,-742.5000000000007,1.0000,0.75606,0.0135,64,0,60
133,1950.5,12.5,180,-4.999999999999979,18070,-747.5000000000007,1.0000,0.75360,0.0154,64,0,60
134,2012.7,12.4,180,-6.9999999999999885,18250,-754.5000000000007,1.0000,0.75115,0.0145,64,0,60
135,2022.3,7.9,87,-1.3499999999999925,18337,-755.8500000000007,1.0000,0.74996,0.0149,64,1,61
136,2036.0,11.9,153,-6.650000000000026,18490,-762.5000000000007,1.0000,0.74787,0.0126,64,1,62
137,2049.8,12.1,180,-15.00000000000006,18670,-777.5000000000008,1.0000,0.74542,0.0128,64,0,62
138,2063.5,12.0,180,-6.999999999999991,18850,-784.5000000000008,1.0000,0.74296,0.0148,64,0,62
139,2070.0,4.8,43,0.8499999999999996,18893,-783.6500000000008,1.0000,0.74238,0.0130,64,1,63
140,2084.0,12.3,180,-8.999999999999993,19073,-792.6500000000008,1.0000,0.73992,0.0142,64,0,63
141,2097.2,11.5,142,-2.0999999999999917,19215,-794.7500000000008,1.0000,0.73799,0.0146,64,1,64
142,2110.6,11.8,178,-7.90000000000004,19393,-802.6500000000009,1.0000,0.73556,0.0146,64,1,65
143,2122.1,9.7,96,-3.799999999999989,19489,-806.4500000000008,1.0000,0.73425,0.0130,64,1,66
144,2131.0,7.3,82,-3.099999999999988,19571,-809.5500000000009,1.0000,0.73313,0.0140,64,1,67
145,2141.7,8.9,107,1.6500000000000046,19678,-807.9000000000009,1.0000,0.73167,0.0129,64,1,68
146,2155.7,12.3,180,-11.000000000000021,19858,-818.9000000000009,1.0000,0.72922,0.0138,64,0,68
147,2169.4,12.0,180,-13.000000000000021,20038,-831.9000000000009,1.0000,0.72676,0.0237,64,0,68
148,2212.9,5.6,34,-0.6999999999999971,20072,-832.6000000000009,1.0000,0.72630,0.0572,64,1,69
149,2226.8,12.2,180,-11.000000000000032,20252,-843.6000000000009,1.0000,0.72385,0.0506,64,0,69
150,2230.4,1.8,2,2.9000000000000004,20254,-840.700000000001,1.0000,0.72382,0.0422,64,1,70
151,2244.4,12.3,180,-9.000000000000034,20434,-849.700000000001,1.0000,0.72136,0.0430,64,0,70
152,2248.8,2.7,16,2.2000000000000006,20450,-847.5000000000009,1.0000,0.72115,0.0401,64,1,71
153,2256.3,5.8,60,1.7763568394002505e-15,20510,-847.5000000000009,1.0000,0.72033,0.0393,64,1,72
154,2270.5,12.5,180,-6.999999999999985,20690,-854.5000000000009,1.0000,0.71787,0.0394,64,0,72
155,2284.5,12.2,180,-11.000000000000094,20870,-865.500000000001,1.0000,0.71542,0.0364,64,0,72
156,2297.4,11.2,140,-6.000000000000004,21010,-871.500000000001,1.0000,0.71351,0.0347,64,1,73
157,2301.0,1.9,3,2.85,21013,-868.650000000001,1.0000,0.71347,0.0272,64,1,74
158,2303.4,0.7,11,0.45000000000000107,21024,-868.200000000001,1.0000,0.71332,0.0408,64,1,75
159,2313.0,7.9,68,-0.399999999999995,21092,-868.6000000000009,1.0000,0.71239,0.0349,64,1,76
160,2326.8,12.0,152,-4.599999999999984,21244,-873.200000000001,1.0000,0.71032,0.0329,64,1,77
161,2340.5,11.9,180,-6.999999999999982,21424,-880.200000000001,1.0000,0.70786,0.0307,64,0,77
162,2350.3,8.1,118,1.1000000000000048,21542,-879.1000000000009,1.0000,0.70625,0.0280,64,1,78
163,2365.9,13.9,180,-8.999999999999995,21722,-888.1000000000009,1.0000,0.70380,0.0289,64,0,78
164,2380.1,12.5,180,-13.000000000000021,21902,-901.1000000000009,1.0000,0.70135,0.0270,64,0,78
165,2394.1,12.3,180,-11.000000000000025,22082,-912.1000000000009,1.0000,0.69889,0.0258,64,0,78
166,2437.0,5.0,25,-4.249999999999996,22107,-916.3500000000009,1.0000,0.69855,0.0224,64,1,79
167,2442.4,3.7,30,3.499999999999999,22137,-912.8500000000009,1.0000,0.69814,0.0285,64,1,80
168,2456.5,12.4,180,-11.000000000000025,22317,-923.8500000000009,1.0000,0.69569,0.0245,64,0,80
169,2470.0,11.8,180,-8.999999999999982,22497,-932.8500000000009,1.0000,0.69323,0.0247,64,0,80
170,2484.2,12.4,180,-13.00000000000006,22677,-945.850000000001,1.0000,0.69078,0.0237,64,0,80
171,2498.3,12.4,180,1.000000000000016,22857,-944.850000000001,1.0000,0.68832,0.0222,64,0,80
172,2512.4,12.4,157,-4.84999999999998,23014,-949.7000000000011,1.0000,0.68618,0.0218,64,1,81
173,2526.2,12.1,180,-11.000000000000025,23194,-960.7000000000011,1.0000,0.68373,0.0218,64,0,81
174,2541.4,13.5,170,2.500000000000008,23364,-958.2000000000011,1.0000,0.68141,0.0213,64,1,82
175,2555.4,12.2,180,-11.000000000000028,23544,-969.2000000000011,1.0000,0.67895,0.0206,64,0,82
176,2569.6,12.6,180,-6.999999999999976,23724,-976.2000000000011,1.0000,0.67650,0.0202,64,0,82
177,2576.1,4.8,44,0.7999999999999998,23768,-975.4000000000011,1.0000,0.67590,0.0221,64,1,83
178,2585.4,7.6,87,2.6500000000000075,23855,-972.7500000000011,1.0000,0.67471,0.0192,64,1,84
179,2599.4,12.3,180,-11.000000000000004,24035,-983.7500000000011,1.0000,0.67226,0.0208,64,0,84
180,2659.1,13.8,180,-6.9999999999999805,24215,-990.7500000000011,1.0000,0.66980,0.0213,64,0,84
181,2673.3,12.5,180,-6.999999999999977,24395,-997.7500000000011,1.0000,0.66735,0.0203,64,0,84
182,2686.2,11.2,142,-0.09999999999998277,24537,-997.8500000000012,1.0000,0.66541,0.0220,64,1,85
183,2700.6,12.7,158,-6.900000000000014,24695,-1004.7500000000011,1.0000,0.66326,0.0200,64,1,86
184,2708.7,6.3,67,-4.349999999999996,24762,-1009.1000000000012,1.0000,0.66234,0.0194,64,1,87
185,2722.6,12.2,180,-0.9999999999999889,24942,-1010.1000000000012,1.0000,0.65989,0.0191,64,0,87
186,2728.2,3.9,31,1.4499999999999995,24973,-1008.6500000000011,1.0000,0.65947,0.0178,64,1,88
187,2742.3,12.4,180,-6.9999999999999805,25153,-1015.6500000000011,1.0000,0.65701,0.0198,64,0,88
188,2756.3,12.3,180,-4.999999999999976,25333,-1020.6500000000011,1.0000,0.65456,0.0194,64,0,88
189,2769.5,11.5,142,-4.099999999999988,25475,-1024.7500000000011,1.0000,0.65262,0.0199,64,1,89
190,2783.4,12.2,160,-4.9999999999999885,25635,-1029.7500000000011,1.0000,0.65044,0.0200,64,1,90
191,2797.4,12.3,180,-11.0,25815,-1040.7500000000011,1.0000,0.64799,0.0188,64,0,90
192,2801.7,2.6,13,2.35,25828,-1038.4000000000012,1.0000,0.64781,0.0171,64,1,91
193,2807.5,4.2,37,3.1500000000000004,25865,-1035.2500000000011,1.0000,0.64730,0.0202,64,1,92
194,2817.2,8.0,90,-5.499999999999986,25955,-1040.7500000000011,1.0000,0.64608,0.0190,64,1,93
195,2831.1,12.1,180,-9.000000000000002,26135,-1049.7500000000011,1.0000,0.64362,0.0188,64,0,93
196,2876.3,4.5,16,4.199999999999999,26151,-1045.550000000001,1.0000,0.64340,0.0152,64,1,94
197,2879.9,1.9,3,2.85,26154,-1042.7000000000012,1.0000,0.64336,0.0275,64,1,95
198,2894.1,12.5,180,-6.999999999999976,26334,-1049.7000000000012,1.0000,0.64091,0.0190,64,0,95
199,2901.2,5.4,53,2.3500000000000005,26387,-1047.3500000000013,1.0000,0.64019,0.0172,64,1,96
200,2915.7,12.8,164,-1.199999999999985,26551,-1048.5500000000013,1.0000,0.63795,0.0192,64,1,97
201,2929.6,12.1,180,-11.00000000000001,26731,-1059.5500000000013,1.0000,0.63549,0.0194,64,0,97
202,2932.1,0.8,12,0.40000000000000124,26743,-1059.1500000000012,1.0000,0.63533,0.0174,64,1,98
203,2947.8,14.0,180,-9.000000000000023,26923,-1068.1500000000012,1.0000,0.63288,0.0187,64,0,98
