episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
247,3557.7,12.2,180,-4.180000000000001,33673,-1504.6730000000011,100.0000,0.54083,0.0234,64
248,3572.7,13.4,176,-9.17600000000004,33849,-1513.849000000001,100.0000,0.53843,0.0235,64
249,3586.6,12.2,180,-4.18000000000004,34029,-1518.0290000000011,100.0000,0.53597,0.0227,64
250,3638.0,9.0,109,-3.109000000000011,34138,-1521.138000000001,100.0000,0.53449,0.0223,64
251,3648.3,8.7,102,0.8979999999999999,34240,-1520.2400000000011,100.0000,0.53310,0.0221,64
252,3652.8,2.9,18,0.982,34258,-1519.2580000000012,100.0000,0.53285,0.0212,64
253,3666.6,12.2,180,-8.18000000000004,34438,-1527.4380000000012,100.0000,0.53040,0.0200,64
254,3680.5,12.3,180,-8.180000000000009,34618,-1535.6180000000013,100.0000,0.52794,0.0222,64
255,3685.4,3.3,26,-3.026000000000003,34644,-1538.6440000000014,100.0000,0.52759,0.0191,64
256,3691.3,4.3,40,-1.0399999999999974,34684,-1539.6840000000013,100.0000,0.52704,0.0233,64
257,3698.5,5.6,61,-5.06100000000001,34745,-1544.7450000000013,100.0000,0.52621,0.0226,64
258,3707.7,7.5,86,-3.086000000000015,34831,-1547.8310000000013,100.0000,0.52504,0.0212,64
259,3721.3,11.9,180,-12.179999999999943,35011,-1560.011000000001,100.0000,0.52258,0.0209,64
260,3729.4,6.5,70,-3.0700000000000007,35081,-1563.081000000001,100.0000,0.52163,0.0191,64
261,3738.6,7.6,86,-3.0860000000000123,35167,-1566.167000000001,100.0000,0.52046,0.0206,64
262,3747.9,7.7,93,-9.092999999999982,35260,-1575.2600000000011,100.0000,0.51919,0.0209,64
263,3761.6,12.0,180,-10.180000000000012,35440,-1585.4400000000012,100.0000,0.51673,0.0212,64
264,3774.8,11.6,180,-8.18,35620,-1593.6200000000013,100.0000,0.51428,0.0205,64
265,3786.7,10.2,131,-11.130999999999963,35751,-1604.751000000001,100.0000,0.51249,0.0221,64
266,3800.3,12.0,180,-12.180000000000012,35931,-1616.9310000000012,100.0000,0.51004,0.0197,64
267,3814.0,12.1,180,-10.179999999999962,36111,-1627.1110000000012,100.0000,0.50758,0.0204,64
268,3867.7,12.2,180,-0.18000000000000013,36291,-1627.2910000000013,100.0000,0.50513,0.0197,64
269,3881.8,12.5,180,-4.179999999999991,36471,-1631.4710000000014,100.0000,0.50267,0.0192,64
270,3895.9,12.4,180,-6.180000000000017,36651,-1637.6510000000014,100.0000,0.50022,0.0200,64
271,3909.6,12.1,180,-12.179999999999922,36831,-1649.8310000000013,100.0000,0.49777,0.0202,64
272,3923.4,12.2,180,-8.179999999999998,37011,-1658.0110000000013,100.0000,0.49531,0.0189,64
273,3934.1,9.1,115,-11.114999999999943,37126,-1669.1260000000013,100.0000,0.49374,0.0181,64
